# Objetos. Nombres oficiales (PokeAPI, idioma es) abreviados a 12 caracteres como en los
# juegos de GBA; los objetos propios de PokeWilds están traducidos a mano.
# Formato: @ nombre interno | nombre en castellano

# --- Bonguris (el menú muestra "APRCN" en lugar de "APRICORN") ---
@ req:hard stone | Piedra Dura
@ req:clear glass | Cris- tal
@ req:ashen soil | Tierra Volc.
@ req:cursed soil | Tierra Tumba
@ req:damp soil | Tierra Lago
@ req:dry soil | Tierra Seca
@ req:mystic soil | Tierra Bosq.
@ req:dry sand | Arena Seca
@ req:soft sand | Arena Fina
@ req:light clay | Arcilla Luz
@ req:flowers | Flo- res
@ req:charcoal | Car- bón
@ req:dusk stone | Piedra Noche
@ req:life force | Fuerza Vital
@ req:magnet | Imán
@ req:miracle seed | Semilla Mil.
@ req:nevermeltice | Hielo Perp.
@ req:psi energy | Energía Psi
@ req:sleeping bag | Saco Dor- mir
@ req:soft bedding | Ropa de Cama
@ req:soft wool | Lana Suave
@ req:spell tag | Hechi- zo
@ req:thin paper | Papel Fino

# --- Descripciones del menú de objetos (máx. 2 líneas de 19 caracteres) ---
= A white APRICORN.
> Un BONGURI blanco.
= A black APRICORN.
> Un BONGURI negro.
= A red APRICORN.
> Un BONGURI rojo.
= A blue APRICORN.
> Un BONGURI azul.
= A yellow APRICORN.
> Un BONGURI amarillo.
= A pink APRICORN.
> Un BONGURI rosa.
= A green APRICORN.
> Un BONGURI verde.
= Use by water to fish for POKéMON.
> Úsala en el agua para pescar POKéMON.
= Cures <> of  POISON.
> Cura a un <> del ENVENENAMIENTO.
= Cures <> of PARALYSIS.
> Cura a un <> de la PARÁLISIS.
= Cures <> of BURN.
> Cura a un <> de las QUEMADURAS.
= Cures <> of  FREEZE.
> Descongela a un <>.
= Cures <> of CONFUSION.
> Cura a un <> de la CONFUSIÓN.
= Cures <> of SLEEP.
> Despierta a un <> dormido.
= Cures <> of STATUS EFFECTS.
> Cura cualquier problema de estado.
= Can be planted to grow BERRIES.
> Se planta para que crezcan BAYAS.
= A sturdy LOG.
> Un LEÑO robusto.
= Freshly cut GRASS.
> HIERBA recién cortada.
= Hot, dry sand from the desert.
> Arena seca y caliente del desierto.
= Soft clay from the mountains.
> Arcilla blanda de las montañas.
= Small, beautiful flowers.
> Flores pequeñas y bonitas.
= Soil taken from a graveyard.
> Tierra sacada de un cementerio.
= Soil found near a volcano.
> Tierra hallada junto a un volcán.
= Dry soil from the savannah.
> Tierra seca de la sabana.
= Soft, light sand from the beach.
> Arena fina y ligera de la playa.
= A tool for catching POKéMON.
> Sirve para atrapar POKéMON.
= A good tool for catching POKéMON.
> Sirve bien para atrapar POKéMON.
= An excellent tool for catching <>.
> Excelente para atrapar POKéMON.
= Catch <> of the opposite gender.
> Atrapa <> del sexo opuesto.
= Most effective on fast POKéMON.
> Eficaz con POKéMON rápidos.
= Most effective while fishing.
> Muy eficaz al pescar.
= For <> that evolve by Moon Stone.
> Eficaz con <> de PIEDRA LUNAR.
= A ball that raises FRIENDSHIP.
> Una BALL que aumenta la AMISTAD.
= Most effective on heavy POKéMON.
> Eficaz con POKéMON pesados.
= Most effective on low-level POKéMON.
> Eficaz con POKéMON de nivel bajo.
= Most effective in dark areas.
> Eficaz en lugares oscuros.
= Best for BUG and WATER type <>.
> Ideal para <> BICHO y AGUA.
= Catch POKéMON underwater.
> Atrapa POKéMON bajo el agua.
= Best when used at start of encounter
> Ideal al inicio del combate.
= Heals POKéMON it contains.
> Cura al POKéMON que atrapa.
= Most effective on weaker POKéMON.
> Eficaz con POKéMON débiles.
= Catch sleeping POKéMON.
> Atrapa POKéMON dormidos.
= Most effective in a longer battle.
> Eficaz en combates largos.
= Amber containing DNA of ancient <>.
> Ámbar con ADN de un <> antiguo.
= A fossil of an ancient POKéMON.
> Fósil de un POKéMON antiguo.
= A sparkling  powder.
> Un polvo brillante.
= An energy exuded by PSYCHIC types.
> Energía emitida por tipos PSÍQUICO.
= Wood burned by a FIRE type.
> Madera quemada por un tipo FUEGO.
= Fragments of a WATER type' shell.
> Trozos de concha de un tipo AGUA.
= A mysterious key.
> Una llave misteriosa.
= A smelly fertilizer.
> Un fertilizante maloliente.
= Can evolve certain POKéMON.
> Hace evolucionar a ciertos POKéMON.
= A sparkling gem.
> Una gema brillante.
= An energy exuded by DARK types.
> Energía emitida por tipos SINIESTRO.
= An energy from GHOST types.
> Energía de los tipos FANTASMA.
= A healing drink that restores HP.
> Bebida curativa que restaura PS.
= A mysterious and rare powder.
> Un polvo raro y misterioso.
= A nutritious drink that restores HP.
> Leche nutritiva que restaura PS.
= A sweet and sticky treat.
> Un dulce pegajoso y sabroso.
= Thick, fluffy  wool.
> Lana gruesa y esponjosa.
= A small but powerful magnet.
> Un imán pequeño pero potente.
= A special ice that doesnì melt.
> Un hielo especial que no se derrite.
= A scale from a DRAGON type.
> Escama de un tipo DRAGÓN.
= A fang from a DRAGON type.
> Colmillo de un tipo DRAGÓN.
= A durable band.
> Una banda muy resistente.
= A coat shed by STEEL types.
> Capa mudada por tipos ACERO.
= A small, poisonous barb.
> Una púa pequeña y venenosa.
= Can be planted to grow GRASS.
> Se planta para que crezca HIERBA.
= Durable rock.
> Roca muy resistente.
= A stray feather from a FLYING type
> Pluma perdida de un tipo VOLADOR.
= Delicate thread from a BUG type.
> Hilo delicado de un tipo BICHO.
= A soft paper good for making posters
> Papel fino, útil para carteles.
= For a comfy bed and faster healing
> Cama cómoda para curarse antes.
= A spray that repels weak POKéMON.
> Espray que ahuyenta POKéMON débiles.
= Clear, delicate glass.
> Cristal transparente y delicado.
= An item that identifies ghosts.
> Permite identificar fantasmas.
= A candy bar that can restore HP.
> Caramelo que restaura PS.
= Raises a POKéMON' level by 1.
> Sube un nivel a un POKéMON.
= A cute plushie.
> Un peluche adorable.
= Restores a fainted <> to half hp.
> Reanima a un <> con la mitad de PS.
= Fully restores a fainted <>.
> Reanima a un <> con todos sus PS.
= The best BALL. It never misses.
> La mejor BALL. Nunca falla.
= Takes you to a nearby shore.
> Te lleva a una orilla cercana.
= A sinister, eerie tag.
> Una etiqueta siniestra.
= Slowly restores party hp.
> Cura poco a poco al equipo.
= A big, beautiful pearl.
> Una perla grande y preciosa.
= Soil from the Forest.
> Tierra del bosque.
= Soil from the Lake
> Tierra del lago.
